Timestamp,SnapshotIndex,ModbusValid,DAQValid,DAQRunning,ECUValid,Modbus_0,Modbus_1,Modbus_2,DAQ_0,DAQ_1,DAQ_2,DAQ_3,DAQ_4,ECU_Throttle,ECU_EngineSpeed,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_AxleTemp,ECU_FuelPressure,ECU_IntakeTemp,ECU_AtmPressure,ECU_FlightTime
7.600,67,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.033392,0.001141,-0.013659,,,,,,,,,
7.700,68,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.028458,-0.033392,0.001141,-0.018592,,,,,,,,,
7.800,69,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.023525,-0.028458,-0.038325,0.001141,-0.018592,,,,,,,,,
7.900,70,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.023525,-0.028458,-0.038325,-0.003792,-0.018592,,,,,,,,,
8.000,71,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.023525,-0.028458,-0.038325,0.001141,-0.018592,,,,,,,,,
8.100,72,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.028458,-0.038325,0.001141,-0.023525,,,,,,,,,
8.200,73,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.023525,-0.028458,-0.038325,-0.003792,-0.018592,,,,,,,,,
8.300,74,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.028458,-0.043258,0.001141,-0.018592,,,,,,,,,
8.600,75,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.023525,-0.028458,-0.038325,0.001141,-0.018592,,,,,,,,,
8.700,76,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.023525,-0.028458,-0.043258,0.001141,-0.018592,,,,,,,,,
8.800,77,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.023525,-0.028458,-0.043258,0.001141,-0.018592,,,,,,,,,
8.900,78,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.023525,-0.033392,-0.043258,-0.003792,-0.018592,,,,,,,,,
9.100,79,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.023525,-0.028458,-0.043258,-0.003792,-0.018592,,,,,,,,,
9.200,80,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.023525,-0.033392,-0.043258,0.001141,-0.018592,,,,,,,,,
9.300,81,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.023525,-0.028458,-0.043258,0.001141,-0.018592,,,,,,,,,
9.400,82,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.023525,-0.028458,-0.043258,0.001141,-0.018592,,,,,,,,,
9.500,83,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.023525,-0.028458,-0.038325,-0.003792,-0.018592,,,,,,,,,
9.600,84,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.028458,-0.038325,-0.003792,-0.018592,,,,,,,,,
9.700,85,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.023525,-0.028458,-0.038325,0.001141,-0.018592,,,,,,,,,
9.900,86,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.028458,-0.038325,0.001141,-0.018592,,,,,,,,,
